Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,66,50.9,33,32,25.1,21,61,39.3,23,16,10.2,0,29.6,29.5,29.4,0.00
2,51,49.8,47,47,44.6,36,89,82.6,61,14,7.5,0,29.4,29.4,29.4,0.14
3,51,38.7,32,48,34.5,28,89,84.9,81,14,8.9,0,29.5,29.3,29.3,1.07
4,31,28.6,25,27,22.1,17,86,76.5,69,13,9.0,5,29.8,29.6,29.5,1.14
5,37,28.0,21,17,13.6,9,78,57.4,33,9,4.8,0,29.9,29.8,29.7,0.01
6,51,35.8,22,24,19.5,15,78,55.4,28,12,3.8,0,29.7,29.7,29.6,0.00
7,51,37.0,24,26,22.5,19,82,58.4,35,12,4.7,0,29.6,29.6,29.6,0.00
8,57,42.0,25,24,21.6,18,78,48.3,26,13,6.1,0,29.6,29.5,29.4,0.00
9,63,50.8,43,27,22.7,19,45,34.7,20,18,9.3,3,29.4,29.3,29.3,0.00
10,61,48.0,36,28,23.6,21,68,41.3,21,12,5.2,0,29.5,29.4,29.3,0.00
11,70,56.5,37,35,27.9,22,65,36.7,16,21,10.3,3,29.4,29.3,29.2,0.00
12,50,36.7,25,36,23.0,13,68,57.8,50,15,9.9,3,29.7,29.6,29.4,0.00
13,43,29.8,20,13,11.1,6,68,48.8,25,8,5.5,3,29.7,29.6,29.6,0.00
14,51,37.0,25,23,16.5,11,71,47.0,23,8,3.8,0,29.7,29.7,29.6,0.00
15,68,49.9,29,26,24.0,20,72,41.5,19,17,8.3,0,29.8,29.7,29.6,0.00
16,69,60.9,50,42,35.9,26,45,39.4,35,25,17.7,10,29.7,29.6,29.4,0.00
17,70,59.7,34,61,50.8,25,88,73.8,42,29,17.1,5,29.4,29.2,28.9,0.00
18,42,33.6,28,24,19.1,16,70,56.8,36,16,8.8,3,29.7,29.6,29.5,2.03
19,49,37.5,26,22,16.0,9,75,44.9,21,13,6.5,0,29.8,29.7,29.6,0.00
20,64,46.8,26,27,22.2,15,72,41.7,23,17,8.7,0,29.8,29.6,29.5,0.00
21,67,55.5,45,51,38.5,24,84,55.6,31,23,12.8,0,29.5,29.5,29.4,0.00
22,66,60.2,57,57,55.1,51,90,82.9,73,25,11.8,3,29.5,29.4,29.3,0.16
23,53,37.2,34,49,31.7,27,86,80.3,72,15,11.3,3,29.7,29.7,29.5,2.06
24,47,39.2,35,44,35.0,30,90,84.7,81,12,5.9,0,29.6,29.5,29.4,1.07
25,42,34.8,32,36,26.3,22,82,71.3,64,14,9.3,0,29.9,29.8,29.5,0.91
26,40,35.5,31,30,24.7,21,70,64.8,58,12,6.8,0,29.9,29.8,29.7,0.00
27,56,44.5,37,31,25.8,19,79,52.0,24,12,7.0,3,29.6,29.6,29.6,0.04
28,59,44.3,29,28,23.2,19,82,48.3,22,6,2.4,0,29.7,29.6,29.5,0.00
